foot speed stride_length step_width cadence
1 1.509973 1.293482 0.093433 141.176471
0 1.916931 1.725177 0.092009 129.72973
0 1.070394 1.190304 0.082083 105.882353
0 0.823453 1.16953 0.079457 84.805654
0 1.003695 0.874633 0.061386 135.849057
1 0.668503 1.048033 0.108051 79.470199
1 0.438113 1.139915 0.115708 45.36862
0 1.091213 1.371462 0.16452 96
0 0.650743 1.051019 0.067499 73.170732
0 1.270248 1.428911 0.060866 106.007067
0 0.597644 1.054619 0.070379 68.376068
1 1.096482 1.024146 0.096872 130.909091
0 1.80523 1.642216 0.093861 133.333333
1 1.005736 1.184327 0.089683 102.12766
0 1.166093 1.32411 0.10374 104.347826
0 1.151258 1.289679 0.082292 107.142857
0 1.227736 1.366507 0.050668 108.303249
0 1.297079 1.441118 0.056704 109.090909
1 1.406862 1.412587 0.083774 121.212121
1 1.046266 1.249754 0.113321 100.41841
0 0.916679 1.265476 0.110669 85.106383
0 1.67674 1.725592 0.139163 116.129032
0 1.033958 1.128872 0.082662 110.769231
0 1.285832 1.353935 0.090447 114.285714
0 1.253402 1.305748 0.07631 118.032787
0 1.453168 1.188794 0.054612 146.938776
0 1.995456 1.637547 0.04635 146.341463
0 1.298937 1.288715 0.095781 124.137931
1 1.827589 1.625317 0.083351 131.868132
1 1.138087 1.33404 0.087895 104.347826
0 1.024721 1.341285 0.078369 91.139241
0 2.294263 1.765863 0.189513 153.191489
0 1.634039 1.554709 0.08567 125.65445
1 1.106243 1.383567 0.10454 98.360656
1 0.914105 1.216872 0.089386 88.235294
0 1.06237 1.225407 0.110995 102.857143
0 2.095746 1.944304 0.095819 129.72973
0 0.974678 1.254606 0.088681 92.307692
1 0.713487 1.176641 0.062614 72.072072
0 1.109789 1.350394 0.074633 98.360656
0 1.982102 1.902461 0.112293 125
0 1.264574 1.356686 0.103472 113.744076
1 1.138262 1.112437 0.07486 119.402985
0 1.38535 1.566291 0.104086 107.623318
0 1.90127 1.572438 0.078624 146.341463
1 1.340795 1.396262 0.092361 112.676056
0 1.371412 1.345421 0.061269 123.71134
0 1.063444 1.049746 0.084068 124.137931
0 0.700531 1.018842 0.112047 82.474227
1 0.967272 1.13688 0.082046 102.564103
0 1.16599 1.15558 0.045237 119.402985
0 1.04366 1.329235 0.079225 93.385214
